Z	A	M
6	12	0.00060059
6	13	5.9084e-09
7	13	5.5806e-07
7	14	1.4325e-09
7	15	2.0729e-08
7	16	6.64e-28
8	15	3.7181e-07
8	16	0.025156
8	17	5.6481e-11
8	18	7.2336e-17
8	19	3.4166e-28
9	17	5.8204e-10
9	18	7.399e-14
9	19	1.6612e-12
9	20	7.1653e-23
10	19	3.7877e-12
10	20	9.1582e-05
10	21	5.0477e-09
10	22	4.6984e-13
10	23	4.4767e-21
11	21	1.558e-08
11	22	1.5554e-10
11	23	1.0624e-07
11	24	7.0299e-15
12	23	9.5761e-08
12	24	0.00054873
12	25	1.7196e-06
12	26	6.0106e-09
12	27	5.6862e-16
13	25	1.2927e-06
13	26	5.9414e-08
13	27	2.5141e-06
13	28	1.2527e-12
14	27	4.7109e-07
14	28	0.10756
14	29	2.5871e-06
14	30	1.2234e-07
14	31	7.5133e-15
14	32	1.3883e-18
14	33	3.8203e-27
15	30	1.6941e-06
15	31	1.8889e-05
15	32	1.0548e-12
15	33	1.267e-12
15	34	3.0592e-19
16	31	1.8476e-06
16	32	0.074227
16	33	7.7112e-06
16	34	5.7872e-09
16	35	1.4396e-13
16	36	5.6122e-15
16	37	1.4339e-23
17	35	1.8379e-06
17	36	1.3132e-11
17	37	9.5336e-12
17	38	2.5532e-18
18	35	6.2224e-08
18	36	0.017436
18	37	1.7148e-06
18	38	2.7437e-09
18	39	8.2376e-15
18	40	6.936e-16
18	41	3.5309e-22
19	39	5.389e-07
19	40	4.3862e-13
19	41	1.4553e-14
19	42	7.077e-20
19	43	1.86e-23
19	44	3.107e-28
20	39	3.9055e-10
20	40	0.018621
20	41	3.763e-07
20	42	1.7996e-09
20	43	5.8126e-11
20	44	3.5679e-16
20	45	5.8069e-20
20	46	1.2224e-22
20	47	1.0477e-27
20	48	9.5304e-29
20	49	5.3883e-29
21	43	1.4846e-07
21	44	4.065e-13
21	45	3.0207e-11
21	46	2.5834e-18
21	47	2.7294e-21
21	48	1.8919e-25
21	49	9.4633e-28
21	50	5.4982e-29
21	51	5.6082e-29
22	43	1.1776e-13
22	44	2.7922e-05
22	45	6.1401e-08
22	46	1.8454e-11
22	47	4.8585e-11
22	48	1.2025e-13
22	49	6.8333e-17
22	50	1.0082e-21
22	51	1.4847e-26
22	52	1.1424e-28
22	53	5.8281e-29
22	54	5.9386e-29
23	47	1.7147e-08
23	48	8.0816e-09
23	49	1.9049e-08
23	50	8.8554e-18
23	51	9.3068e-18
23	52	7.5018e-22
23	53	3.4062e-26
23	54	9.4757e-29
23	55	7.4767e-28
23	56	6.1604e-29
24	47	7.7588e-14
24	48	0.00043394
24	49	8.0886e-06
24	50	2.3027e-10
24	51	9.2981e-11
24	52	3.2995e-12
24	53	2.669e-18
24	54	4.2421e-21
24	55	1.2536e-25
24	56	5.94e-28
24	57	1.5437e-28
24	58	6.378e-29
25	51	4.3919e-08
25	52	1.436e-06
25	53	2.032e-08
25	54	3.9702e-17
25	55	2.9289e-16
25	56	2.9727e-22
26	51	2.9678e-17
26	52	0.0085719
26	53	1.6308e-06
26	54	3.491e-06
26	55	1.2967e-08
26	56	7.1048e-12
26	57	2.3663e-14
26	58	2.3593e-19
26	59	7.4117e-24
26	60	9.6261e-28
26	61	6.7078e-29
26	62	6.8178e-29
27	54	1.571e-19
27	55	0.00015717
27	56	7.5273e-06
27	57	2.8191e-07
27	58	2.0622e-14
27	59	1.3631e-13
27	60	1.8895e-21
27	61	4.9328e-23
27	62	1.6307e-28
28	54	5.9363e-29
28	55	1.5377e-18
28	56	0.80867
28	57	0.007294
28	58	0.0014652
28	59	7.2441e-05
28	60	8.7952e-07
28	61	3.3897e-09
28	62	1.0566e-10
29	58	0.00020186
29	59	0.0010375
29	60	0.00044437
29	61	1.6704e-05
29	62	2.0727e-08
29	63	3.5746e-09
29	64	3.3991e-18
29	65	2.8112e-16
29	66	5.038e-26
30	59	1.3286e-18
30	60	0.017728
30	61	0.00024698
30	62	0.0001732
30	63	2.6717e-06
30	64	5.2088e-07
30	65	4.4684e-09
30	66	6.7284e-13
